comment,behaviour,suggestion
തിരച്ചിലുമായി ബന്ധപ്പെട്ട് ട്രംപ് ടീമിൽ നിന്ന് തുടർച്ചയായ മണ്ടത്തരം നീക്കങ്ങൾ”,Harsh Political Criticism,Appreciate when others are allowed to share perspectives or statements.
സ്വാൽവെല്ലിന് തന്റെ സാഹചര്യം പറയാൻ അനുവദിച്ചതെനിക്ക് ഇഷ്ടമായി”,Media Praise,"Report claims or events factually, noting that they may be unverified."
എത്ര രേഖകൾ എടുത്തുവെന്ന് ആരോപിക്കുന്നതാണെന്ന് പഠിക്കൂ”,Information Processing,Describe employment or leave situations neutrally.
“അവർ വെറും ഒപ്പിട്ട് അവധി എടുത്ത് ശമ്പളം വാങ്ങും”,Political Complaint,Advise constructive action when dissatisfied with a situation.
നിലവിലെ സാഹചര്യത്തിൽ നീ അസന്തോഷത്തിലാണ് എങ്കിൽ”,Advisory,Reference additional context to provide clarity.
നിയമഭരണം നടപ്പാക്കാനായാൽ ഈ രാജ്യത്തിന് ഇനിയും പ്രതീക്ഷയുണ്ട്,Normative Statement,Ensure discussions and edits maintain professionalism and neutrality.
ന്യായവ്യവസ്ഥ അഴിമതിയില്ലാതെ തുടരേണ്ടതാണ്,Ethical Assertion,Uphold principles that the justice system should remain impartial and free from corruption
"ന്യായവ്യവസ്ഥയ്ക്ക് നന്ദി, മലേഷ്യൻസിന് വലിയ വിജയം",Praise,Acknowledge victories and achievements respectfully.
കോടതിയുടെ ചരിത്രപരമായ വിധി,Institutional Praise,Highlight historic decisions factually and with context.
ഇത് പൗരന്മാർക്ക് പ്രതീക്ഷ നൽകുന്നു,Positive Outlook,Express hope for citizens in a considerate way.
എന്റെ ഹൃദയപൂർവ്വമായ അനുശോചനങ്ങൾ,Sympathy,Offer condolences genuinely and with sensitivity.
ബാധിതനോട് എനിക്ക് ദുഃഖമുണ്ട്,Empathy,Show empathy for victims appropriately.
കുടുംബത്തോടുള്ള ആഴത്തിലുള്ള അനുശോചനങ്ങൾ,Sympathy,Express deepest condolences for affected families respectfully.
ജഡ്ജിമാർക്ക് അഭിവാദ്യം,Appreciation,Salute judges or officials in a professional and neutral tone.
ന്യായവും സുതാര്യവുമായ വിചാരണ,Institutional Approval,Recognize fair and transparent trials factually.
നമ്മുടെ രാജ്യത്തിന് പ്രതീക്ഷയുണ്ട്,Optimism,Express hope for the nation thoughtfully.
പ്രതികരിച്ച ആളുകൾക്ക് ദൈവത്തിന് നന്ദി,Appreciation,Appreciate responses by relevant people respectfully.
പങ്കെടുത്ത എല്ലാവരും മികച്ച ജോലി ചെയ്തു,Praise,Acknowledge collaborative efforts factually and neutrally.
ഓഫീസർമാരുടെ അത്യുത്തമമായ ജോലി,Professional Praise,"Commend officers’ work in a positive, unbiased manner."
നീതി നടപ്പാക്കി,Moral Approval,State that justice has been served factually.
ഇതാണ് സ്വാതന്ത്ര്യത്തിന്റെ യഥാർത്ഥ അർത്ഥം,Ideological Statement,Discuss the broader meaning of freedom respectfully.
സഹകരണം ജീവനുകൾ രക്ഷിച്ചു,Positive Acknowledgement,Acknowledge successful collaboration in a neutral way.
നീ പൂർണ്ണമായും ഉപയോഗശൂന്യനാണ്,Personal Insult,Flag content that may not be helpful politely.
ഇന്ന് ഞാൻ കണ്ട ഏറ്റവും മണ്ടത്തരം കാര്യമാണിത്,Harassment,Express personal impressions calmly and respectfully.
"ഒരു ജീവിതം ഉണ്ടാക്കൂ, സത്യമായി",Dismissive Attack,Request that others be more considerate in discussions.
നിന്റെ അഭിപ്രായം ആരും ചോദിച്ചില്ല,Silencing,Gently indicate when opinions may not be necessary.
നീ പൂർണ്ണ പരാജയമാണ്,Personal Attack,Point out unsuccessful attempts constructively.
ഈ ഉള്ളടക്കം മുഴുവൻ മാലിന്യമാണ്,Content Harassment,Suggest improvements to content politely.
നിനക്ക് ഒരു അനുയായിയെയും അർഹതയില്ല,Devaluation,Discuss potential audience impact factually.
ഇന്റർനെറ്റ് ഇടത്തിന്റെ പൂർണ്ണ നാശം,Dehumanizing Insult,Indicate when content adds little value in a neutral way.
നീ അത്യന്തം അജ്ഞാനിയായി തോന്നുന്നു,Intellectual Insult,Highlight when information may appear uninformed respectfully.
നിനക്കുതന്നെ ലജ്ജാകരമാക്കുന്നത് നിർത്തൂ,Shaming,Flag approaches that may not reflect well on contributors calmly.
ഇത് കാണുന്നത് വേദനാജനകമാണ്,Mockery,Mention when content is difficult to watch respectfully.
നിനക്ക് ഒരു കഴിവും ഇല്ല,Personal Degradation,"Comment on skill or execution in a neutral, constructive tone."
ഇപ്പോൾ തന്നെ നിർത്തൂ,Harassment,Suggest reconsidering an approach politely.
നീ അതിയായി ശ്രമിച്ച് പരാജയപ്പെടുന്നു,Belittling,Flag content that feels forced or ineffective in a neutral tone.
പൂർണ്ണമായ അർത്ഥശൂന്യത,Dismissal,Point out content that seems illogical calmly and constructively.
ഇതിന് യാതൊരു അർത്ഥവുമില്ല,Criticism,Flag content that doesn’t make sense politely.
നിനക്ക് ഒന്നും അറിയില്ല,Personal Insult,Point out unclear content respectfully.
ഇത് വായിച്ചപ്പോൾ എന്റെ ബുദ്ധികണങ്ങൾ നഷ്ടപ്പെട്ടു,Mockery,Mention when content is hard to follow in a neutral tone.
ദയനീയമായ ശ്രമം,Belittling,Comment on poor execution constructively.
ഇത് മാലിന്യ ഉള്ളടക്കമാണ്,Content Harassment,Indicate when content needs significant improvement politely.
നിനക്ക് ഒന്നും അറിയില്ലെന്ന് വ്യക്തമാണ്,Intellectual Attack,Highlight lack of understanding factually and respectfully.
ഇത്ര മണ്ടത്തരമായ അഭിപ്രായം,Harassment,Note when a take seems not well thought out calmly.
നിനക്ക് യാതൊരു പ്രാധാന്യവും ഇല്ല,Devaluation,Point out content that may not feel relevant respectfully.
ആളുകൾ നിന്നെ പരിഹസിക്കുന്നതിന്റെ കാരണം ഇതാണ്,Social Shaming,Flag content that may attract criticism in a neutral tone.
പൂർണ്ണ നിരാശ,Negative Judgment,Express disappointment professionally and constructively
നിനക്ക് ലജ്ജ തോന്നണം,Moral Shaming,Encourage reflection on content politely.
ഇത് ചിരിക്കാവുന്ന വിധം മോശമാണ്,Ridicule,Highlight unintentionally humorous content without mocking.
എപ്പോഴത്തെയും ഏറ്റവും മോശം വീഡിയോ,Extreme Criticism,Flag content that is very poorly done respectfully.
നീ ഈ വിഷയം നശിപ്പിച്ചു,Blame,Comment when content is not handled well constructively.
പൂർണ്ണമായും അർത്ഥശൂന്യമായ പോസ്റ്റ്,Dismissal,Indicate posts that add little value in a neutral tone.
നീ വളരെ ബുദ്ധിമുട്ടിക്കുന്നവനാണ്,Personal Attack,Flag content that comes across as irritating politely.
ആരും പരിഗണിക്കുന്നില്ല,Silencing,Point out content that may not engage viewers in a neutral way.
ഈ ചാനൽ അവസാനത്തിലേക്ക് പോകുകയാണ്,Negative Prognosis,Mention struggling channels factually and respectfully.
